,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1153,78.94736842,0,0,86.95652174,0,0,0,102.5641026,63.24110672,51.28205128,47.80876494,0,8,50,0,117.6470588,36.69724771,0,63.82978723,0,0,0,0,0,0,177.2727273,38.46153846,0,0,0,0,0,15.38461538
Zotu1696,0,0,0,0,0,69.30693069,0,0,51.38339921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.8181818,916.6666667,0,0,0,0,0,0
Zotu329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu77,0,0,0,0,0,0,0,1598.290598,1324.110672,8.547008547,0,0,0,0,0,0,0,0,0,0,71.42857143,0,0,3310.344828,0,54.54545455,0,0,0,1068.292683,0,0,0
Zotu434,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.176471,36.69724771,0,0,0,0,0,0,68.96551724,1033.707865,0,44.87179487,0,0,1551.219512,0,0,0
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.0588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu871,18.79699248,0,0,4.830917874,0,9.900990099,0,17.09401709,15.81027668,8.547008547,47.80876494,0,12,0,0,0,18.34862385,0,0,0,0,54.05405405,0,0,11.23595506,0,0,0,11.36363636,4.87804878,0,0,0
Zotu735,0,0,0,0,0,0,478.2608696,0,0,0,0,0,0,0,0,7.352941176,0,0,0,0,285.7142857,0,0,0,0,0,141.025641,0,0,0,0,0,0
Zotu4263,0,0,0,0,0,0,0,0,0,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,6.41025641,0,0,0,0,0,0
Zotu49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785.714286,0,0,0,0,10560,0,0,77.27272727,1647.435897,0,0,0,0,0,0
Zotu979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu72,15.03759398,0,0,0,0,1366.336634,0,0,213.4387352,0,0,956.8965517,0,0,128.342246,227.9411765,0,7.936507937,0,0,142.8571429,0,2100,0,415.7303371,295.4545455,692.3076923,416.6666667,0,1604.878049,600,0,0
Zotu6137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu922,3.759398496,0,0,0,0,1000,0,0,0,384.6153846,3.984063745,51.72413793,0,0,0,14.70588235,0,31.74603175,0,17.24137931,0,0,0,0,0,1054.545455,6.41025641,0,0,0,0,0,0
Zotu33,165.4135338,0,0,154.589372,0,1900.990099,0,0,249.0118577,17.09401709,31.87250996,0,100,0,160.4278075,286.7647059,183.4862385,396.8253968,468.0851064,68.96551724,9071.428571,0,560,0,0,813.6363636,346.1538462,15166.66667,579.5454545,731.7073171,0,365.8536585,15.38461538
Zotu103,7.518796992,0,0,0,0,752.4752475,0,0,106.7193676,0,0,422.4137931,0,0,69.51871658,147.0588235,0,0,0,0,0,0,1100,0,179.7752809,127.2727273,211.5384615,0,0,726.8292683,100,0,0
Zotu96,0,0,0,0,0,0,0,0,0,384.6153846,1876.494024,0,1480,0,0,5051.470588,146.7889908,0,0,0,0,0,0,241.3793103,179.7752809,0,0,0,0,521.9512195,0,0,0
Zotu334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu50,0,0,27982.14286,0,0,0,0,0,0,0,51.79282869,0,12,0,0,0,0,0,0,2120.689655,0,0,0,0,0,0,0,0,5204.545455,0,0,0,0
Zotu204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36363636,0,0,7181.818182,0,0,0,0
Zotu2942,0,0,0,0,0,0,0,0,3.95256917,0,0,0,132,0,0,0,9.174311927,103.1746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82051282,0,0,0,0,0,0
Zotu5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23595506,0,0,0,0,0,0,0,0
Zotu104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3902439,0
Zotu432,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,534.4827586,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu237,0,0,0,4.830917874,0,0,0,0,3.95256917,8.547008547,0,0,4,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,6306.818182,0,0,0,0
Zotu90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,12987.17949,0,0,0,0,0,0
Zotu286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0
Zotu633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.459893,0,0,0,0,0,0,0,0,0,0,22.72727273,0,0,0,0,0,0,0
Zotu626,3.759398496,0,0,62.80193237,0,0,0,0,98.81422925,59.82905983,27.88844622,663.7931034,16,87.5,0,0,0,0,0,0,0,0,0,0,0,13.63636364,57.69230769,0,0,0,0,24.3902439,0
Zotu1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.47058824,0,0,0,0,0,0,0,0,33.70786517,0,0,0,0,117.0731707,0,0,0
Zotu1293,3.759398496,0,0,0,0,39.6039604,0,0,0,0,0,0,0,0,0,0,0,39.68253968,0,0,0,0,0,0,0,95.45454545,301.2820513,0,0,34.14634146,0,0,0
Zotu599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.9411765,0,0,0,0,0,0,0,0,0,0,2645.454545,0,0,0,0,200,0,0
Zotu3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,250,0,670.4545455,0,0,0,0
Zotu840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1540,0,1214.285714,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,127.2727273,115.3846154,0,0,0,0,0,0
Zotu148,22.55639098,0,0,0,0,0,0,0,0,136.7521368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.63636364,0,0,0,0,0,0,0
Zotu586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0
Zotu6355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.82352941,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0
Zotu1677,7.518796992,0,0,0,0,0,0,0,7.90513834,0,19.92031873,0,48,62.5,240.6417112,0,18.34862385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu821,15.03759398,0,0,38.647343,0,0,0,0,23.71541502,17.09401709,11.95219124,0,4,25,0,0,9.174311927,0,553.1914894,51.72413793,0,0,220,0,0,40.90909091,32.05128205,0,90.90909091,0,0,0,0
