,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885.245902,0,0
Zotu77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.747126437,0,0,0,412.6984127,0,0,0,0,0
Zotu434,0,0,0,0,0,0,144.0677966,0,0,0,0,0,28.57142857,0,0,0,0,272.7272727,0,0,0,0,0,0,54.05405405,0,0,0,0,0,0,0
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.6842105,0,0,0,0,0,0
Zotu438,0,0,0,0,0,0,0,0,0,149.2537313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu871,17.85714286,0,0,66.66666667,0,0,0,0,0,7.462686567,0,0,9.523809524,0,0,0,13.15789474,0,0,7.8125,0,0,5.747126437,0,0,0,19.84126984,0,0,0,0,11.42857143
Zotu735,0,343.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.8125,0,0,166.6666667,0,567.5675676,0,0,0,0,131.147541,0,0
Zotu4263,0,0,0,0,0,0,0,0,0,0,27.39726027,0,0,0,0,0,13.15789474,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Zotu49,0,0,0,0,4878.26087,0,0,0,0,0,0,0,0,21000,0,10875,355.2631579,0,2708.333333,0,0,7307.692308,0,0,0,0,0,0,0,0,0,0
Zotu979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu72,464.2857143,0,0,0,8.695652174,136.6459627,8.474576271,10.1010101,0,0,2835.616438,14.49275362,0,0,0,0,0,0,0,0,14026.31579,0,1195.402299,0,9297.297297,109.3117409,424.6031746,0,0,2647.540984,2047.619048,0
Zotu6137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7736.842105,0,0,0,0,0,0,0,0,0,0,0
Zotu4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.58299595,0,0,0,0,0,0
Zotu346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.6885246,0,0
Zotu922,17.85714286,0,0,0,17.39130435,180.1242236,228.8135593,252.5252525,466.6666667,0,0,101.4492754,9.523809524,0,0,2000,0,0,0,0,0,0,40.22988506,0,0,1064.777328,0,170,0,0,0,0
Zotu33,160.7142857,2718.75,0,0,365.2173913,546.5838509,466.1016949,1353.535354,1416.666667,74.62686567,0,826.0869565,0,3571.428571,0,0,131.5789474,90.90909091,666.6666667,0,52.63157895,0,2563.218391,0,0,518.2186235,1428.571429,270,41.66666667,13278.68852,4285.714286,377.1428571
Zotu103,196.4285714,0,0,0,8.695652174,80.74534161,8.474576271,0,0,0,1698.630137,0,0,0,0,0,0,0,0,0,7315.789474,0,637.9310345,0,4054.054054,56.68016194,190.4761905,0,0,1245.901639,1214.285714,0
Zotu96,0,0,0,0,0,0,0,0,0,22.3880597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.2857143,0
Zotu334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937.5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu50,0,0,0,0,0,0,2881.355932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0
Zotu204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2942,0,0,0,0,0,0,0,0,0,7.462686567,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,1218.009479,0,0,0,0,0,0,0,0
Zotu228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5469,0,0,0,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
