,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,22 Acropora sp,25A Porites sp,2B Pocillopora damicornis,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,42B Montipora sp,43B Pocillopora damicornis,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0
Zotu131,0,0,0,0,0,0,11.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2433,0,19.41747573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.920415225,0,0,0,0,0,0
Zotu1165,0,0,0,0,0,0,0,0,0,0,0,0,20.2020202,0,0,0,0,0,0,0,0,0,0,0,0
Zotu819,0,0,0,0,23.80952381,21.05263158,1488.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.73796791
Zotu2610,0,0,169.5238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu106,3140,543.6893204,11.42857143,89.10891089,214.2857143,189.4736842,79.54545455,632.6530612,95.23809524,655.1724138,95.23809524,38.96103896,141.4141414,68.96551724,2634.408602,609.375,486.4864865,0,41.52249135,342.1052632,939.3939394,202.7027027,304.3478261,169.4915254,106.9518717
Zotu132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0
Zotu1129,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu242,0,0,0,0,0,84.21052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,5.347593583
