	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu9631	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu9632	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae				0
Zotu9633	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus			0
Zotu9634	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae Sva0996_marine_group			0
Zotu9635	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria			0
Zotu9636	Bacteria	Nb1-j							0
Zotu9637	Bacteria	Acidobacteriota	Acidobacteriota Subgroup_26						0
Zotu9638	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu9639	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrionaceae Om27_clade			0
Zotu964	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu9640	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu9641	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae				0
Zotu9642	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu9644	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae				0
Zotu9645	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales					0
Zotu9646	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales					0
Zotu9647	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae Sm1a02			0
